Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Job_Role
5,5,5,5,4,4,4,5,3,3,5,4,4,3,4,5,5,4,4,5,3,4,4,4,4,4,4,5,3,5,data_scientist
5,5,4,5,4,4,3,4,2,4,5,5,4,5,4,5,5,4,5,5,4,4,3,3,3,4,4,5,1,3,cybersecurity
5,5,4,5,5,3,2,5,2,5,4,4,5,5,5,4,5,4,4,5,2,5,3,5,4,4,3,3,3,4,devops_engineer
5,4,4,5,5,4,4,4,3,3,4,4,5,4,5,3,5,4,4,4,4,5,5,5,4,4,5,5,4,5,business_analyst
3,3,2,4,4,4,5,4,5,5,5,4,4,4,4,4,5,5,4,3,4,5,4,5,4,4,2,4,5,4,digital_marketing
2,4,4,4,3,5,5,4,4,5,3,4,4,4,3,4,5,5,5,4,3,5,4,5,4,5,4,4,3,4,ui_ux_designer
4,5,4,5,4,5,5,5,3,5,4,4,3,4,5,5,5,5,5,4,5,3,3,3,3,2,5,3,4,5,frontend_developer
3,4,3,5,3,5,5,4,5,5,5,4,3,5,5,3,4,4,4,4,4,5,3,3,4,4,3,4,4,3,ui_ux_designer
3,3,5,5,3,5,5,5,5,5,4,4,3,4,4,5,4,5,5,4,3,5,5,5,3,3,3,5,5,4,ui_ux_designer
4,5,5,4,3,4,4,5,5,5,4,3,3,5,4,4,4,4,4,5,4,3,3,4,4,4,3,5,3,4,mobile_developer
4,5,4,4,4,5,3,4,4,4,5,5,4,4,4,5,5,4,5,5,4,2,5,5,2,4,4,4,4,3,fullstack_developer
4,5,5,4,5,5,2,5,3,3,4,5,5,4,4,5,4,5,5,5,5,5,4,5,5,3,3,5,4,3,business_analyst
4,4,4,5,3,4,5,4,4,4,5,4,4,4,5,5,4,4,4,5,5,5,4,4,5,3,5,3,3,4,frontend_developer
5,5,4,5,4,5,3,5,3,3,4,4,3,4,5,5,3,4,5,5,3,3,5,3,4,4,4,4,4,3,data_scientist
5,5,5,5,5,4,4,5,3,3,4,4,5,5,4,5,4,5,5,4,3,4,3,5,4,4,4,5,3,4,cybersecurity
5,4,4,4,5,5,5,4,4,5,4,4,3,3,5,4,4,4,5,5,4,3,5,5,3,4,4,5,4,4,frontend_developer
5,3,4,5,3,4,5,4,4,4,4,4,4,4,5,5,4,5,3,3,3,4,4,4,3,3,4,4,2,4,frontend_developer
5,4,5,5,5,4,3,2,1,4,5,5,4,5,5,5,5,4,5,5,4,4,4,3,3,4,5,4,4,3,devops_engineer
5,5,4,4,5,3,2,4,3,5,4,5,5,5,3,5,4,4,5,4,5,4,5,4,4,5,3,4,5,4,software_engineer_backend
4,5,5,3,5,5,3,5,1,4,5,5,5,4,4,5,4,5,4,5,4,5,3,3,3,4,4,4,2,4,software_engineer_backend
3,4,4,3,5,5,4,5,4,4,4,4,4,4,4,3,4,4,5,5,4,3,3,4,4,3,5,5,4,3,frontend_developer
4,5,5,4,4,4,5,4,2,4,4,4,4,3,4,5,5,5,5,4,5,4,3,3,5,5,3,4,5,5,fullstack_developer
4,5,5,5,4,4,5,5,4,4,4,4,5,4,4,5,5,5,5,5,5,5,3,4,4,4,4,4,5,3,mobile_developer
3,4,4,5,5,4,4,5,3,5,4,3,3,4,4,5,4,4,5,4,4,4,2,4,3,5,4,4,3,5,mobile_developer
4,5,4,4,3,5,4,5,5,5,5,3,5,5,5,5,5,5,5,5,4,4,5,4,5,3,4,5,4,3,product_manager
5,4,4,5,5,5,1,4,1,3,4,5,4,4,4,5,3,4,5,5,3,4,4,5,2,4,4,4,5,3,software_engineer_backend
4,5,3,5,3,5,4,5,3,4,4,4,3,4,5,5,5,4,5,4,5,5,5,5,4,3,2,5,5,4,digital_marketing
4,5,5,4,4,4,5,5,4,5,5,2,3,4,4,4,5,5,4,5,4,4,4,4,3,4,4,4,4,2,mobile_developer
3,5,4,5,3,5,5,5,5,5,4,3,4,5,5,4,5,5,5,5,4,4,4,5,4,4,4,5,4,5,ui_ux_designer
5,5,5,5,4,3,2,5,2,4,5,5,5,5,4,5,5,5,5,5,2,4,3,4,4,5,4,4,4,3,cybersecurity
4,5,4,4,5,4,1,4,3,2,4,4,5,5,4,4,5,3,4,5,4,3,5,4,2,5,4,4,3,3,software_engineer_backend
4,5,5,3,5,5,4,4,4,4,5,4,3,5,5,5,5,4,5,5,5,5,5,5,5,4,2,4,2,2,product_manager
4,5,4,4,4,3,2,4,2,2,4,4,5,3,2,4,4,4,4,5,3,4,2,2,4,5,4,4,2,5,software_engineer_backend
4,5,4,5,5,2,4,4,3,2,4,3,4,5,5,5,5,5,5,4,5,4,3,5,3,4,4,4,4,4,business_analyst
5,5,4,5,4,3,1,5,2,4,5,5,5,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,3,3,devops_engineer
5,5,5,4,4,4,2,4,3,4,4,5,4,5,5,5,4,5,5,5,3,3,3,4,4,5,4,4,5,3,data_scientist
5,4,3,5,4,5,4,4,4,3,3,5,4,5,5,5,5,5,5,3,5,5,5,5,5,5,4,5,4,3,digital_marketing
4,4,4,5,3,5,5,5,5,4,4,4,4,5,4,5,5,4,5,4,5,5,4,5,4,5,3,4,5,3,ui_ux_designer
5,4,4,3,4,3,4,3,2,4,3,3,4,4,5,4,5,4,5,4,4,4,4,4,3,5,2,5,5,4,fullstack_developer
5,5,3,5,5,5,3,4,3,4,5,5,5,3,4,5,4,5,5,5,5,4,4,4,4,5,3,4,3,3,fullstack_developer
4,5,5,5,5,4,2,4,3,3,4,5,4,3,5,4,5,5,5,5,4,4,4,4,2,5,5,4,5,4,data_scientist
5,5,5,5,4,4,5,5,3,5,4,3,5,3,4,5,4,5,3,4,4,4,3,5,4,4,5,5,3,4,frontend_developer
5,5,3,5,4,3,3,5,4,3,5,4,5,4,5,5,5,4,4,4,3,3,4,4,5,5,3,3,3,3,software_engineer_backend
2,3,5,4,5,5,5,5,5,5,5,4,5,5,5,4,4,4,5,5,5,4,5,4,4,3,2,4,5,4,ui_ux_designer
4,5,3,4,5,3,2,3,4,3,5,5,4,4,5,4,4,4,5,4,3,4,4,4,4,3,4,3,4,4,devops_engineer
5,5,5,4,4,3,1,4,2,5,4,5,5,4,5,5,5,5,4,5,5,4,4,4,4,4,4,4,3,3,devops_engineer
4,4,3,4,4,5,4,5,4,4,5,4,4,5,4,5,5,4,4,4,3,4,4,5,4,5,4,4,4,4,mobile_developer
4,4,4,3,5,4,3,4,2,4,4,4,4,4,4,5,4,4,4,3,4,4,4,3,4,5,3,4,3,3,fullstack_developer
5,5,4,4,4,4,4,4,4,4,4,5,3,4,4,4,5,5,5,5,4,3,3,3,4,4,4,5,3,4,mobile_developer
4,4,4,5,2,5,4,5,5,3,4,4,4,4,5,5,5,3,5,4,5,5,4,5,3,4,4,4,4,4,digital_marketing
4,3,5,5,4,5,4,5,4,4,4,3,3,5,4,4,5,4,4,3,5,5,5,5,3,4,4,4,4,4,digital_marketing
5,5,5,4,4,5,4,5,3,4,4,5,4,3,4,5,5,4,5,5,3,3,3,4,4,4,3,4,4,4,ai_ml_engineer
4,4,5,4,5,3,4,5,1,3,5,5,4,4,4,5,5,5,5,5,3,4,4,4,3,4,3,5,3,4,software_engineer_backend
4,5,4,5,5,5,2,5,2,4,5,3,5,4,5,4,5,5,5,4,3,4,4,5,4,5,3,5,2,5,fullstack_developer
4,4,5,4,5,4,4,5,3,5,4,3,5,5,4,4,5,4,5,5,5,4,5,5,5,3,2,3,5,2,product_manager
4,4,3,4,4,5,4,4,4,3,3,4,4,4,5,4,5,5,4,3,5,5,4,4,5,4,3,4,4,4,digital_marketing
4,4,5,5,4,5,4,4,4,5,4,3,3,5,5,4,5,4,4,5,4,5,5,5,4,3,5,5,5,2,product_manager
5,4,4,5,4,4,5,4,4,3,5,3,4,5,5,4,4,5,4,5,5,4,4,5,5,4,3,5,5,4,product_manager
5,5,4,5,5,5,3,5,2,3,5,5,5,4,4,5,5,4,5,5,3,4,3,4,3,5,4,4,3,3,ai_ml_engineer
5,5,5,3,4,3,3,5,4,3,5,4,5,4,4,4,4,4,5,4,2,5,4,5,4,4,4,5,5,4,ai_ml_engineer
5,5,5,5,4,3,3,4,2,2,5,4,5,3,4,5,5,5,5,5,4,3,4,5,4,4,4,5,3,5,data_scientist
5,5,5,5,5,4,3,5,5,4,4,5,4,4,3,5,5,5,5,5,4,3,5,5,3,5,4,5,4,2,ai_ml_engineer
5,4,4,5,5,4,3,3,2,4,4,4,4,5,4,5,5,5,5,5,3,4,5,4,3,5,5,5,5,3,cybersecurity
5,5,5,3,5,5,4,3,2,3,4,4,5,5,2,5,4,3,3,4,3,2,3,4,3,5,4,4,5,5,software_engineer_backend
5,5,3,4,3,4,5,5,5,5,5,3,4,5,5,4,5,5,5,5,4,4,4,4,4,3,3,3,4,4,digital_marketing
5,4,5,5,5,3,1,5,2,4,5,5,4,4,5,4,3,4,5,5,4,5,4,5,4,4,4,3,5,3,devops_engineer
5,5,4,4,3,5,5,5,4,5,4,4,5,5,4,4,5,4,5,5,4,4,4,4,4,3,5,5,4,4,product_manager
4,4,4,4,5,3,3,5,4,5,5,4,4,5,3,4,5,5,5,5,5,5,3,5,4,3,3,5,5,4,business_analyst
4,5,3,4,4,4,5,4,5,4,4,4,4,4,4,3,4,5,5,4,4,4,2,3,5,4,4,3,2,2,frontend_developer
4,4,5,5,5,3,4,4,1,2,5,3,4,4,4,5,5,5,5,5,5,5,5,4,4,4,4,5,2,4,devops_engineer
4,5,5,4,5,4,4,5,4,5,4,5,3,5,4,4,4,5,5,5,4,5,4,5,4,3,3,5,4,4,product_manager
4,5,5,5,5,5,2,5,2,4,5,4,4,5,5,4,5,5,4,5,4,4,4,5,4,5,4,4,4,4,devops_engineer
5,5,5,5,4,4,3,5,5,3,5,4,5,5,4,5,5,5,5,5,3,3,4,5,3,4,4,5,4,3,ai_ml_engineer
4,3,4,5,4,3,5,4,3,4,4,4,3,5,5,4,5,4,3,4,4,3,3,3,4,3,3,4,4,4,frontend_developer
4,3,4,4,4,4,4,4,3,4,3,2,5,4,4,4,5,5,5,5,5,5,4,5,4,4,3,4,4,3,digital_marketing
3,5,4,3,4,5,4,4,2,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,2,4,product_manager
4,4,3,5,5,2,3,4,1,3,4,3,5,5,3,5,3,3,5,5,4,3,3,3,5,4,5,5,2,3,software_engineer_backend
4,5,4,3,4,5,4,4,4,4,4,3,4,4,5,4,4,5,4,5,3,5,4,5,4,5,5,4,4,3,mobile_developer
5,5,4,5,5,5,4,5,3,4,4,5,5,5,4,3,5,4,5,5,4,3,4,4,3,4,5,4,3,3,cybersecurity
4,5,4,4,4,2,3,4,2,2,4,4,4,4,2,5,4,5,4,5,3,4,3,4,2,4,4,5,4,3,software_engineer_backend
5,3,4,4,4,4,4,4,4,2,4,4,5,4,5,4,3,4,4,4,4,5,3,4,2,3,4,4,4,5,fullstack_developer
5,5,4,3,5,4,4,4,4,5,5,4,3,5,5,4,4,5,4,4,3,4,1,3,3,4,3,5,4,4,mobile_developer
4,4,4,5,3,5,5,5,5,4,4,5,3,4,4,5,3,5,5,5,4,4,5,4,4,2,4,4,4,5,ui_ux_designer
5,4,5,4,5,5,3,4,3,3,4,5,4,4,5,5,5,5,5,4,3,4,2,2,4,4,4,4,4,5,data_scientist
4,5,5,4,5,4,4,4,3,4,5,5,4,4,3,5,5,4,5,5,3,5,3,4,3,4,4,4,3,4,ai_ml_engineer
5,4,4,5,4,5,5,5,3,5,5,2,3,5,4,5,5,5,5,4,5,4,5,3,3,5,3,4,5,4,frontend_developer
5,4,4,5,3,4,2,3,1,2,4,5,3,3,3,5,4,3,5,5,5,2,4,3,3,4,4,4,2,2,software_engineer_backend
4,3,5,5,5,5,5,3,4,4,4,3,4,5,5,5,5,5,4,5,3,4,5,5,3,4,4,5,3,3,mobile_developer
3,5,4,4,5,4,3,4,2,3,4,5,4,5,4,5,4,4,5,4,5,5,5,5,4,5,5,5,3,3,business_analyst
4,5,5,4,4,4,3,5,3,4,5,5,5,5,5,5,5,5,4,3,3,5,3,3,3,5,3,4,5,4,fullstack_developer
4,4,5,5,4,4,3,3,2,5,4,4,3,5,4,3,3,5,5,4,5,5,4,4,5,3,3,5,3,4,business_analyst
5,5,5,4,5,5,3,5,3,3,4,4,5,4,4,5,4,5,4,4,3,5,3,4,4,5,5,3,3,2,cybersecurity
5,4,4,4,4,5,5,4,4,4,4,4,4,5,4,3,4,4,4,4,5,4,3,4,3,4,2,4,3,5,frontend_developer
5,5,5,5,4,4,1,4,3,5,5,5,5,4,5,4,5,5,5,4,2,3,4,4,3,4,5,5,3,2,cybersecurity
4,5,2,5,4,3,2,5,4,3,4,4,4,4,4,5,4,5,5,5,4,4,2,3,4,4,3,4,4,3,software_engineer_backend
4,5,4,5,3,4,5,4,4,5,5,4,3,4,4,5,4,4,4,5,4,3,3,3,4,4,2,4,4,3,frontend_developer
5,4,4,5,5,4,3,5,4,3,4,5,5,2,4,5,5,4,4,5,4,4,5,5,4,5,5,4,3,4,devops_engineer
5,5,5,4,4,4,2,4,3,4,4,4,5,4,3,5,5,4,5,5,5,3,4,5,4,4,4,5,3,3,ai_ml_engineer
5,4,5,5,5,5,4,5,3,3,4,4,4,5,5,5,4,3,5,4,4,5,4,4,5,4,4,4,4,3,business_analyst
5,3,5,4,4,2,3,5,2,2,5,4,5,5,4,5,5,5,4,4,4,3,5,5,4,4,4,4,4,3,devops_engineer
4,4,4,5,5,5,3,5,3,2,5,5,5,4,4,4,3,5,5,5,5,4,4,4,5,4,4,5,3,4,data_scientist
5,5,5,5,5,4,3,5,2,3,4,5,5,4,4,5,5,4,5,4,5,4,4,5,3,5,5,5,3,4,ai_ml_engineer
3,4,5,4,3,5,5,4,5,5,4,3,3,5,5,5,5,5,5,4,4,5,5,4,4,4,3,5,5,5,ui_ux_designer
5,5,5,5,5,4,5,4,3,3,5,4,5,5,4,5,4,4,5,5,4,4,4,5,4,5,3,3,3,3,cybersecurity
5,4,5,5,5,5,4,4,3,4,4,5,5,4,4,5,4,5,5,5,3,4,4,5,4,4,4,5,4,4,ai_ml_engineer
4,5,5,4,5,4,2,4,1,3,5,5,4,5,3,5,4,5,5,4,3,4,4,5,3,5,4,4,4,4,data_scientist
5,4,4,4,5,3,4,4,1,2,5,4,5,4,5,5,5,5,4,4,4,4,4,4,3,5,3,5,2,4,data_scientist
5,5,5,5,4,4,3,5,2,2,5,3,4,3,4,5,4,3,5,5,4,4,4,4,4,4,5,5,4,3,data_scientist
4,4,5,5,4,5,4,5,3,4,5,4,4,4,5,5,5,4,4,4,4,5,4,4,4,3,4,5,4,3,product_manager
4,4,5,5,5,4,3,4,3,4,5,4,4,4,5,4,5,5,4,4,5,4,3,5,3,5,4,3,5,2,devops_engineer
5,5,5,5,4,5,4,4,5,4,5,4,4,5,4,5,4,4,5,5,3,3,3,5,4,4,2,5,4,3,ai_ml_engineer
5,5,5,4,5,4,4,5,4,5,5,5,5,4,4,5,5,5,5,5,3,3,3,4,4,3,4,4,4,5,ai_ml_engineer
5,4,5,4,5,4,4,4,1,2,5,5,4,4,4,5,4,3,5,5,4,4,5,4,4,3,4,5,4,3,data_scientist
5,4,4,5,5,4,4,4,5,4,5,3,5,3,4,5,4,5,5,4,4,5,4,4,4,4,4,3,4,3,frontend_developer
3,5,4,5,4,3,2,5,3,2,5,5,5,4,3,4,5,2,4,4,4,4,3,3,4,4,4,3,3,2,software_engineer_backend
5,5,4,5,5,4,4,5,1,3,4,4,5,4,4,5,4,4,5,5,4,3,4,4,3,4,4,5,4,2,ai_ml_engineer
4,4,3,3,4,5,5,4,4,5,5,4,5,4,4,4,3,5,5,4,3,4,4,5,3,4,4,4,5,5,ui_ux_designer
4,5,4,5,5,4,3,5,3,5,3,2,3,5,4,5,4,5,4,5,5,5,5,5,5,5,4,5,5,5,product_manager
4,4,4,4,4,5,4,5,4,4,4,3,5,4,4,5,4,5,4,5,5,5,4,5,5,4,2,5,4,4,digital_marketing
5,5,4,4,5,5,4,3,3,2,5,3,4,5,5,4,5,5,5,5,4,4,4,5,4,5,5,3,3,4,devops_engineer
4,4,4,5,4,5,4,4,4,5,5,5,5,4,5,4,4,5,4,5,5,5,5,5,4,3,5,5,4,4,product_manager
5,4,4,5,5,4,3,4,4,4,4,5,4,5,4,5,3,4,5,4,5,4,5,5,4,3,3,4,2,4,business_analyst
4,5,4,5,5,5,2,5,3,3,5,5,5,4,4,4,5,4,5,4,3,4,5,4,4,3,5,5,3,2,cybersecurity
4,4,5,4,5,4,5,4,3,4,3,5,3,4,5,4,4,4,5,3,4,4,3,3,5,4,4,4,3,4,frontend_developer
5,5,5,4,4,4,3,5,2,3,5,5,4,4,4,5,5,4,5,5,3,5,3,4,4,5,5,4,4,4,cybersecurity
4,3,4,4,5,4,4,5,3,4,3,4,4,4,5,5,5,5,4,4,4,4,5,4,4,4,4,5,5,3,product_manager
5,5,4,5,5,5,1,4,2,4,4,4,5,5,4,5,3,4,5,5,3,4,3,3,3,5,5,3,3,4,cybersecurity
4,4,3,5,4,5,5,5,4,4,3,5,4,5,4,4,5,5,4,4,4,4,3,5,4,3,3,5,3,4,frontend_developer
5,5,5,4,5,5,2,5,1,4,4,3,5,4,5,5,5,4,5,5,4,4,4,4,2,5,4,4,4,3,ai_ml_engineer
4,5,4,5,4,4,3,4,2,2,4,5,4,5,5,5,5,5,5,5,4,5,4,5,4,4,5,5,3,3,business_analyst
5,5,5,5,5,4,3,4,4,5,5,5,5,4,4,5,5,4,5,5,4,4,4,3,4,4,4,5,4,4,data_scientist
4,5,5,5,5,4,2,5,2,3,5,4,4,4,4,4,3,4,4,5,4,4,3,3,4,5,5,2,4,4,cybersecurity
3,3,4,5,4,5,5,3,5,4,4,4,5,4,5,5,3,4,5,4,4,4,4,4,3,5,4,5,4,4,frontend_developer
4,5,4,5,5,4,2,5,2,5,5,4,5,3,4,5,5,4,5,5,4,2,4,3,4,4,5,4,4,4,ai_ml_engineer
4,5,5,5,4,3,2,5,4,4,5,4,4,5,3,5,4,3,4,5,3,3,4,4,5,5,5,5,2,3,software_engineer_backend
3,5,5,4,4,5,4,4,4,4,4,4,4,5,5,5,5,5,4,5,4,5,3,4,5,3,3,5,5,4,digital_marketing
3,3,4,5,4,5,4,5,3,3,5,5,5,3,5,4,5,5,4,4,4,4,3,4,4,4,4,4,3,4,mobile_developer
5,4,4,5,4,3,3,5,4,4,5,4,5,3,4,5,5,4,5,4,5,5,3,5,4,5,3,5,5,3,business_analyst
4,4,5,4,5,4,5,5,4,3,4,3,4,4,4,5,5,5,5,4,3,4,3,5,5,5,3,4,4,3,mobile_developer
5,5,4,5,4,5,4,5,3,4,5,4,5,3,4,5,5,5,5,5,4,4,4,4,3,4,4,4,3,3,ai_ml_engineer
5,5,4,5,5,3,3,5,2,2,5,5,5,5,3,5,4,4,5,4,4,3,3,4,4,4,5,4,1,4,software_engineer_backend
4,4,2,4,5,5,2,5,1,4,5,5,3,4,4,5,5,5,5,4,4,4,4,3,4,5,2,4,4,3,fullstack_developer
5,4,4,5,4,4,3,5,4,4,4,4,5,4,3,5,5,5,5,4,4,4,4,3,5,4,4,5,4,4,ai_ml_engineer
5,5,4,5,5,4,2,4,3,4,5,3,4,5,5,5,5,4,4,4,4,4,3,4,4,3,4,5,4,3,devops_engineer
4,4,4,5,5,4,3,4,3,4,5,4,4,3,4,5,5,4,5,5,4,4,4,3,4,5,5,5,3,3,software_engineer_backend
4,4,4,4,3,4,5,4,5,4,3,5,4,5,5,4,4,5,4,4,5,5,3,5,4,5,3,5,4,4,digital_marketing
4,4,4,5,3,3,3,5,4,4,4,5,4,4,4,5,4,5,4,4,5,5,4,5,5,5,3,5,3,3,product_manager
3,5,4,4,5,3,4,4,3,5,4,4,4,4,4,5,5,5,5,4,4,4,5,4,4,4,4,5,3,3,fullstack_developer
5,5,5,4,4,4,4,4,2,3,4,4,4,5,5,5,4,4,4,3,5,5,5,5,5,2,5,4,4,4,business_analyst
3,5,3,5,4,5,4,5,4,5,3,5,5,3,4,5,5,5,4,3,5,5,2,5,3,4,3,5,5,4,digital_marketing
5,5,3,5,5,3,3,5,4,4,4,5,4,4,4,5,5,5,5,5,3,4,4,4,4,4,4,5,4,4,mobile_developer
5,5,4,4,5,4,3,3,3,4,4,5,5,4,4,5,5,4,5,5,3,4,5,3,2,5,4,4,4,2,data_scientist
4,4,5,5,5,4,4,4,3,4,5,4,5,5,4,4,4,3,5,5,5,5,4,5,4,3,5,4,4,4,business_analyst
3,4,3,5,5,5,5,5,5,5,5,3,4,5,5,5,5,4,4,4,5,5,1,5,4,4,4,4,4,4,ui_ux_designer
4,5,4,5,4,5,3,4,4,3,5,4,5,5,5,4,5,5,5,5,4,4,3,3,2,5,4,4,4,4,cybersecurity
5,4,5,5,5,5,5,5,3,5,4,4,5,4,5,5,5,5,5,4,4,5,4,4,4,5,3,5,4,3,ai_ml_engineer
4,4,4,3,5,2,5,3,2,4,5,4,4,4,5,5,5,5,5,4,4,3,4,5,4,4,4,3,4,4,fullstack_developer
4,5,5,4,4,5,4,5,5,5,4,3,4,5,4,4,5,4,5,4,5,4,4,4,4,4,4,4,5,5,mobile_developer
4,5,5,4,4,4,5,5,5,5,5,4,3,4,4,4,3,5,4,5,4,4,4,5,4,5,4,5,2,3,frontend_developer
2,3,4,4,3,5,4,5,4,3,4,4,5,3,4,4,5,5,5,4,4,5,4,4,4,5,3,5,5,3,digital_marketing
5,4,5,5,5,5,2,5,2,3,4,4,4,4,3,5,4,5,5,5,3,4,4,3,5,4,4,5,3,3,ai_ml_engineer
4,5,5,5,5,5,3,5,4,4,4,3,4,3,5,5,5,5,4,5,5,5,5,5,4,4,5,4,5,4,business_analyst
4,5,4,5,4,5,3,4,3,3,5,4,4,5,4,5,4,4,4,4,3,4,2,4,5,5,4,5,5,4,software_engineer_backend
4,5,4,5,4,3,3,4,3,3,5,4,5,4,5,5,5,4,4,5,2,4,3,4,4,5,5,3,3,5,software_engineer_backend
4,5,5,4,5,4,3,4,4,3,5,3,5,2,3,5,4,4,5,4,5,4,3,3,4,5,2,4,3,3,software_engineer_backend
4,4,4,4,5,5,4,5,3,5,3,3,5,5,5,4,5,5,4,5,5,5,4,5,4,4,5,5,4,4,product_manager
4,4,4,4,5,3,1,5,2,2,5,3,4,4,5,5,5,5,5,5,4,5,4,4,4,5,5,3,5,3,devops_engineer
5,4,4,4,4,5,4,5,4,5,3,4,4,4,3,5,5,4,4,4,3,4,3,5,3,4,5,4,2,3,mobile_developer
4,4,5,4,3,5,3,3,3,3,3,4,5,5,3,4,3,4,5,4,4,4,3,4,4,5,3,5,3,2,fullstack_developer
5,4,5,4,4,5,5,5,5,5,4,3,3,4,4,3,5,5,4,4,5,4,4,4,4,5,4,4,4,4,ui_ux_designer
5,5,5,4,5,5,3,5,2,4,4,4,5,4,4,5,5,5,5,4,4,4,3,5,3,4,4,5,5,4,ai_ml_engineer
5,5,3,5,4,4,5,5,4,5,3,4,3,4,4,4,4,5,3,3,5,4,5,3,4,4,3,4,3,4,frontend_developer
2,4,4,5,2,5,5,5,5,5,5,4,4,5,4,5,5,5,4,4,4,4,4,4,4,4,4,5,3,4,ui_ux_designer
3,4,3,3,3,5,4,4,4,4,3,4,5,4,5,2,4,4,5,5,4,5,4,5,5,4,3,5,5,5,digital_marketing
3,4,3,5,3,5,4,5,5,3,3,3,4,5,5,5,5,5,3,5,5,3,3,4,3,5,3,4,5,4,frontend_developer
3,3,4,5,3,4,4,4,5,4,5,4,4,5,5,5,5,5,4,5,4,5,3,5,5,4,4,3,5,5,digital_marketing
5,5,4,5,5,3,4,4,3,3,4,5,4,4,3,4,4,5,5,5,3,3,4,5,4,4,4,5,3,3,data_scientist
3,4,5,4,4,4,5,4,3,5,4,4,3,4,3,4,4,4,4,5,5,4,2,3,4,5,4,3,3,3,frontend_developer
2,5,4,4,4,5,5,5,4,5,5,5,3,4,4,5,4,4,4,5,5,4,5,5,4,5,3,5,5,5,ui_ux_designer
5,5,4,5,5,5,2,5,5,5,4,4,5,5,4,5,4,4,4,4,4,3,4,4,2,4,4,5,4,4,ai_ml_engineer
5,5,5,5,4,5,3,4,2,2,5,5,4,4,4,5,5,5,5,5,4,5,2,4,5,5,4,4,3,3,software_engineer_backend
