career,Q1_realistic,Q2_investigative,Q3_artistic,Q4_social,Q5_enterprising,Q6_conventional,Q7_math,Q8_communication,Q9_technical,Q10_design,Q11_work_env,Q12_team_size,Q13_risk,Q14_pace,Q15_values,Q16_prefers,Q17_balance,Q18_education,Q19_subjects,Q20_coding,Q21_indoor,Q22_age,Q23_problem_text,Q24_dream_text,Q25_skill_text,annual_salary,total_employment,required_skills
Data Scientist,2.53,6.81,2.63,1.93,1.72,4.61,5,3,5,1,Remote,Small (2-5),Medium,Varies,High salary,Data,Somewhat,Masters,Science/Math,Advanced,Strongly indoor,18-22,I love building predictive models that learn from historical data to forecast future,I would run my own data consultancy helping companies make smarter decisions,I am known for my patience in cleaning and structuring messy datasets,108020,192000,Python | Statistics | Machine Learning | SQL | Data Visualization | Pandas | Communication | NumPy
AI/ML Engineer,4.4,6.3,2.19,1.77,4.21,3.83,4,2,5,2,Remote,Small (2-5),High,Fast-paced,High salary,Data,Not,Masters,Science/Math,Expert,Strongly indoor,23-27,I enjoy optimizing model performance and reducing inference latency at scale,I would run an AI research lab working on problems that matter most to society,People say I have remarkable intuition for which ML approach will work best,136620,31000,Python | Deep Learning | PyTorch | TensorFlow | MLOps | Mathematics | Research | Cloud Platforms
Financial Analyst,2.65,4.51,1.83,3.38,4.29,4.95,4,3,3,3,Office,Large (20+),Low,Moderate,High salary,Data,Not,Bachelors,Commerce/Business,Basic,Strongly indoor,28-35,I get excited by building financial models that predict business performance,I would advise startups on financial strategy and help them scale successfully,My professors praised my precision and attention to detail in financial modeling,83660,371920,Financial Modeling | Excel | Valuation | Accounting | Statistics | Bloomberg | Communication | Risk Analysis
Civil Engineer,6.11,5.4,2.86,1.3,2.26,5.14,5,2,5,2,Outdoor,Medium (6-20),Low,Moderate,Job stability,Physical things,Somewhat,Bachelors,Science/Math,Never,Both equally,28-35,I enjoy finding ways to build infrastructure that will last for hundreds of years,I would create transportation networks that connect isolated communities to opportunity,People say I have unusual ability to anticipate construction problems before they occur,88050,329800,Reading Comprehension | Critical Thinking | Active Listening | Mathematics | Speaking | Complex Problem Solving | Writing | Monitoring
Architect,4.15,4.49,3.63,2.81,2.75,4.77,3,2,4,5,Flexible,Medium (6-20),High,Moderate,Creative freedom,Ideas,Somewhat,PhD,Mixed,Never,Both equally,Under 18,I enjoy finding creative solutions when budget and structural limitations conflict,I would create buildings that use zero energy and still feel warm and beautiful,People say I can communicate spatial ideas through drawings that anyone can understand,93310,128830,Reading Comprehension | Critical Thinking | Complex Problem Solving | Active Listening | Speaking | Writing | Judgment and Decision Making | Active Learning
Environmental Scientist,5.32,4.59,2.87,3.46,1.81,4.55,3,4,3,3,Lab,Large (20+),Medium,Slow and steady,Making impact,Physical things,Extremely,Pursuing,Science/Math,Basic,Both equally,18-22,I enjoy collecting field data and translating it into actionable policy recommendations,I would build monitoring systems that give early warning of approaching environmental disasters,I am known for my ability to communicate urgent scientific issues in a very persuasive way,76480,97000,Reading Comprehension | Writing | Speaking | Active Listening | Critical Thinking | Science | Monitoring | Complex Problem Solving
Financial Analyst,2.62,4.99,2.45,2.4,4.52,5.95,5,4,1,1,Office,Large (20+),Low,Moderate,High salary,Data,Somewhat,Bachelors,Commerce/Business,Basic,Strongly indoor,18-22,I enjoy assessing risk and making data driven investment decisions confidently,I would build financial literacy programs for people who never had access to them,Friends say I can explain complex financial concepts in a simple and clear way,83660,371920,Financial Modeling | Excel | Valuation | Accounting | Statistics | Bloomberg | Communication | Risk Analysis
Supply Chain Manager,2.17,3.92,1.0,2.93,4.96,5.25,3,4,4,2,Flexible,Large (20+),High,Fast-paced,Job stability,Mix of all,Very,Bachelors,Commerce/Business,Basic,Mostly indoor,23-27,I love optimizing complex networks and finding costly inefficiencies that others miss completely,I would design supply chains that are completely transparent and entirely ethically sourced,People say I have an exceptional ability to coordinate many complex moving parts simultaneously,99600,182800,Monitoring | Coordination | Critical Thinking | Active Listening | Reading Comprehension | Speaking | Complex Problem Solving | Judgment and Decision Making
Cybersecurity Analyst,4.12,6.0,1.0,2.22,2.38,6.23,5,2,5,2,Office,Solo,High,Fast-paced,High salary,Data,Very,Pursuing,Mixed,Advanced,Strongly indoor,23-27,I love the cat and mouse game of security where the threats never stop evolving,I would train the next generation of ethical hackers and security researchers,Colleagues say I can find the one vulnerability in a system everyone else missed,102600,168900,Reading Comprehension | Critical Thinking | Active Listening | Speaking | Writing | Monitoring | Complex Problem Solving | Active Learning
Supply Chain Manager,1.97,3.6,1.0,1.98,4.69,5.12,3,3,3,2,Flexible,Large (20+),High,Fast-paced,Job stability,Mix of all,Somewhat,Masters,Commerce/Business,Basic,Mostly indoor,18-22,I love the data driven side of logistics where every single decision has a very measurable impact,I would revolutionize last mile delivery to make it fast cheap and genuinely sustainable,Friends say I am the most thoroughly organized person they have ever known in every area of life,99600,182800,Monitoring | Coordination | Critical Thinking | Active Listening | Reading Comprehension | Speaking | Complex Problem Solving | Judgment and Decision Making
Cybersecurity Analyst,3.98,5.36,1.23,1.0,2.98,5.43,4,1,4,3,Office,Solo,High,Fast-paced,High salary,Data,Somewhat,Bachelors,Mixed,Advanced,Strongly indoor,Under 18,I love thinking like an attacker to find vulnerabilities before hackers do,I would build security systems that protect critical national infrastructure,People say I have an extraordinary ability to think several steps ahead defensively,102600,168900,Reading Comprehension | Critical Thinking | Active Listening | Speaking | Writing | Monitoring | Complex Problem Solving | Active Learning
UX Designer,2.49,3.87,5.54,4.16,3.87,2.82,1,3,3,5,Flexible,Small (2-5),Medium,Varies,Creative freedom,Ideas,Extremely,Bachelors,Arts/Humanities,Intermediate,Mostly indoor,23-27,I love the process of wireframing prototyping and testing with real users,I would design the next generation of healthcare interfaces that save lives,I am known for my empathy and ability to think from the user perspective,95640,91770,User Research | Figma | Prototyping | Wireframing | Usability Testing | Empathy | Design Thinking | Communication
Financial Analyst,3.06,4.61,2.1,3.15,4.7,5.45,4,4,3,2,Office,Large (20+),Low,Moderate,High salary,Data,Not,Masters,Commerce/Business,Basic,Strongly indoor,18-22,I enjoy assessing risk and making data driven investment decisions confidently,I would build financial literacy programs for people who never had access to them,Friends say I can explain complex financial concepts in a simple and clear way,83660,371920,Financial Modeling | Excel | Valuation | Accounting | Statistics | Bloomberg | Communication | Risk Analysis
HR Manager,1.0,3.07,1.45,3.65,6.47,5.76,2,4,1,3,Office,Large (20+),Medium,Moderate,Job stability,People,Extremely,PhD,Commerce/Business,Never,Strongly indoor,18-22,I enjoy mediating conflicts and turning workplace tension into productive team dynamics,I would create employee development programs that genuinely transform careers at scale,I am known for my ability to understand what truly motivates very different types of people,136350,185400,Management of Personnel Resources | Reading Comprehension | Active Listening | Speaking | Critical Thinking | Judgment and Decision Making | Active Learning | Writing
Cybersecurity Analyst,4.06,5.43,1.64,1.5,3.08,6.78,4,1,5,1,Office,Solo,High,Fast-paced,High salary,Data,Very,Bachelors,Mixed,Advanced,Strongly indoor,28-35,I enjoy reverse engineering malware and understanding how attacks work internally,I would develop open source security tools used by defenders worldwide,I am known for staying calm and methodical when systems are under active attack,102600,168900,Reading Comprehension | Critical Thinking | Active Listening | Speaking | Writing | Monitoring | Complex Problem Solving | Active Learning
Supply Chain Manager,2.72,3.39,1.41,1.84,5.56,5.56,4,4,3,2,Flexible,Large (20+),High,Fast-paced,Job stability,Mix of all,Not,PhD,Commerce/Business,Basic,Mostly indoor,18-22,I get excited by the challenge of delivering the right thing to the right place at the right time,I would build logistics systems for humanitarian aid that genuinely save lives during crises,Colleagues say I can spot a supply chain bottleneck long before it ever becomes a serious crisis,99600,182800,Monitoring | Coordination | Critical Thinking | Active Listening | Reading Comprehension | Speaking | Complex Problem Solving | Judgment and Decision Making
Mechanical Engineer,6.98,5.11,3.23,2.26,1.0,3.82,5,1,4,3,Flexible,Medium (6-20),Medium,Moderate,Job stability,Physical things,Extremely,Bachelors,Science/Math,Never,Both equally,23-27,I enjoy the process of prototyping testing and iterating on physical product designs,I would design medical devices that improve quality of life for millions of people,I am known for my precision and complete zero tolerance for errors in physical systems,96310,303400,Reading Comprehension | Critical Thinking | Active Listening | Complex Problem Solving | Mathematics | Speaking | Judgment and Decision Making | Science
Psychologist,1.7,5.44,2.46,5.91,2.74,3.91,2,5,3,2,Flexible,Large (20+),Medium,Moderate,Making impact,People,Somewhat,Pursuing,Arts/Humanities,Never,Mostly indoor,18-22,I love understanding why people behave the way they do in different situations,I would make mental health care accessible and affordable for absolutely everyone,People say I listen deeply and make them feel truly heard and understood always,81040,181600,Reading Comprehension | Active Listening | Social Perceptiveness | Writing | Speaking | Critical Thinking | Judgment and Decision Making | Active Learning
Civil Engineer,6.06,5.73,1.92,1.9,2.37,5.67,4,1,5,2,Outdoor,Medium (6-20),Low,Moderate,Job stability,Physical things,Somewhat,Pursuing,Science/Math,Never,Both equally,28-35,I get excited by large scale construction challenges that require truly creative solutions,I would build flood resistant cities that protect communities from severe climate change,Friends say I can look at a construction site and immediately see what is wrong,88050,329800,Reading Comprehension | Critical Thinking | Active Listening | Mathematics | Speaking | Complex Problem Solving | Writing | Monitoring
Financial Analyst,3.31,5.6,3.0,3.63,4.7,5.68,5,3,2,1,Office,Large (20+),Low,Moderate,High salary,Data,Not,PhD,Commerce/Business,Basic,Strongly indoor,28-35,I enjoy assessing risk and making data driven investment decisions confidently,I would build financial literacy programs for people who never had access to them,Friends say I can explain complex financial concepts in a simple and clear way,83660,371920,Financial Modeling | Excel | Valuation | Accounting | Statistics | Bloomberg | Communication | Risk Analysis
Product Manager,4.03,5.56,1.47,1.94,3.97,6.31,4,4,3,4,Flexible,Medium (6-20),High,Fast-paced,Fame/recognition,Ideas,Not,Bachelors,Commerce/Business,Intermediate,Mostly indoor,23-27,I love sitting at the intersection of business technology and user needs,I would build a product that solves a massive problem for billions of people,People say I have an exceptional ability to align teams around a shared vision,169510,482000,Reading Comprehension | Critical Thinking | Active Listening | Speaking | Monitoring | Complex Problem Solving | Writing | Judgment and Decision Making
Architect,4.54,4.87,3.67,3.77,3.43,4.76,4,2,4,4,Flexible,Medium (6-20),High,Moderate,Creative freedom,Ideas,Very,HighSchool,Mixed,Never,Both equally,18-22,I enjoy the technical challenge of making a building structurally sound and stunning,I would design iconic public spaces that become lasting symbols of their cities,I am known for my ability to blend artistic vision with very precise technical detail,93310,128830,Reading Comprehension | Critical Thinking | Complex Problem Solving | Active Listening | Speaking | Writing | Judgment and Decision Making | Active Learning
Graphic Designer,3.78,3.2,7.0,2.01,4.16,3.59,1,3,2,4,Remote,Solo,High,Varies,Creative freedom,Mix of all,Very,Bachelors,Arts/Humanities,Never,Strongly indoor,28-35,I love finding the perfect color palette and layout that makes a brand memorable,I would build a design school that teaches visual thinking to young people,My peers say my design work is always instantly recognizable and distinctive,58910,253000,Critical Thinking | Speaking | Active Listening | Reading Comprehension | Active Learning | Writing | Complex Problem Solving | Coordination
Cybersecurity Analyst,3.99,5.43,1.77,1.78,2.78,6.7,4,3,4,3,Office,Solo,High,Fast-paced,High salary,Data,Very,Masters,Mixed,Advanced,Strongly indoor,23-27,I love thinking like an attacker to find vulnerabilities before hackers do,I would build security systems that protect critical national infrastructure,People say I have an extraordinary ability to think several steps ahead defensively,102600,168900,Reading Comprehension | Critical Thinking | Active Listening | Speaking | Writing | Monitoring | Complex Problem Solving | Active Learning
Content Creator,1.59,3.39,3.96,2.52,4.1,5.27,1,4,2,5,Remote,Solo,High,Varies,Creative freedom,Mix of all,Very,Masters,Arts/Humanities,Never,Strongly indoor,18-22,I love finding the perfect angle on a story that makes people stop and pay close attention,I would build a media brand that educates and entertains millions of loyal followers,People say I have a natural storytelling ability that genuinely keeps everyone engaged,73690,165000,Writing | Reading Comprehension | Active Listening | Speaking | Critical Thinking | Active Learning | Judgment and Decision Making | Social Perceptiveness
Civil Engineer,5.87,5.79,2.51,2.47,2.57,4.99,5,3,5,2,Outdoor,Medium (6-20),Low,Moderate,Job stability,Physical things,Very,Bachelors,Science/Math,Never,Both equally,35+,I enjoy calculating structural loads and ensuring absolute safety in everything I design,I would design sustainable water systems for regions facing desperate water scarcity,I am known for my ability to manage extremely complex projects across many moving parts,88050,329800,Reading Comprehension | Critical Thinking | Active Listening | Mathematics | Speaking | Complex Problem Solving | Writing | Monitoring
Cybersecurity Analyst,4.48,5.36,1.0,2.39,2.82,6.33,5,2,4,3,Office,Solo,High,Fast-paced,High salary,Data,Very,PhD,Mixed,Advanced,Strongly indoor,23-27,I enjoy building detection systems that catch anomalies before damage is done,I would create security awareness programs that protect millions of everyday users,People say I have an exceptional ability to communicate risk to non technical teams,102600,168900,Reading Comprehension | Critical Thinking | Active Listening | Speaking | Writing | Monitoring | Complex Problem Solving | Active Learning
Doctor,4.65,6.66,1.25,5.38,2.38,3.12,3,4,3,3,Lab,Large (20+),Low,Moderate,Making impact,People,Somewhat,Bachelors,Science/Math,Never,Mostly indoor,28-35,I get satisfaction from making critical decisions that directly save human lives,I would train the next generation of doctors in developing countries worldwide,People say I have a natural ability to make others feel safe and well cared for,229300,756800,Reading Comprehension | Critical Thinking | Active Listening | Judgment and Decision Making | Speaking | Complex Problem Solving | Active Learning | Writing
Doctor,4.21,6.08,1.72,5.45,2.6,4.31,3,5,3,1,Lab,Large (20+),Low,Moderate,Making impact,People,Somewhat,Bachelors,Science/Math,Never,Mostly indoor,23-27,I get satisfaction from making critical decisions that directly save human lives,I would train the next generation of doctors in developing countries worldwide,People say I have a natural ability to make others feel safe and well cared for,229300,756800,Reading Comprehension | Critical Thinking | Active Listening | Judgment and Decision Making | Speaking | Complex Problem Solving | Active Learning | Writing
Entrepreneur,3.48,2.39,1.49,2.06,6.43,6.16,3,1,2,3,Flexible,Large (20+),High,Fast-paced,Creative freedom,Ideas,Very,Bachelors,Commerce/Business,Never,Both equally,35+,I love the risk and reward dynamic of betting everything on my own ideas and executing them,I would create a startup ecosystem in my city that produces the next generation of founders,Colleagues say I can make important decisions very quickly with incomplete information,129420,3240000,Active Listening | Monitoring | Speaking | Reading Comprehension | Critical Thinking | Management of Personnel Resources | Social Perceptiveness | Coordination
HR Manager,1.0,1.5,1.04,4.12,7.0,5.41,2,5,3,2,Office,Large (20+),Medium,Moderate,Job stability,People,Very,Bachelors,Commerce/Business,Never,Strongly indoor,23-27,I enjoy mediating conflicts and turning workplace tension into productive team dynamics,I would create employee development programs that genuinely transform careers at scale,I am known for my ability to understand what truly motivates very different types of people,136350,185400,Management of Personnel Resources | Reading Comprehension | Active Listening | Speaking | Critical Thinking | Judgment and Decision Making | Active Learning | Writing
Graphic Designer,2.85,3.36,6.82,2.43,4.16,3.96,2,2,1,5,Remote,Solo,High,Varies,Creative freedom,Mix of all,Very,Masters,Arts/Humanities,Never,Strongly indoor,28-35,I love solving visual communication problems through design and typography,I would run my own creative studio designing brand identities for startups,People say I have an extraordinary eye for color harmony and visual balance,58910,253000,Critical Thinking | Speaking | Active Listening | Reading Comprehension | Active Learning | Writing | Complex Problem Solving | Coordination
Cybersecurity Analyst,3.6,6.15,1.51,1.51,2.43,6.33,4,1,4,3,Office,Solo,High,Fast-paced,High salary,Data,Extremely,Bachelors,Mixed,Advanced,Strongly indoor,23-27,I enjoy reverse engineering malware and understanding how attacks work internally,I would develop open source security tools used by defenders worldwide,I am known for staying calm and methodical when systems are under active attack,102600,168900,Reading Comprehension | Critical Thinking | Active Listening | Speaking | Writing | Monitoring | Complex Problem Solving | Active Learning
Software Engineer,3.26,6.22,1.99,3.06,2.29,5.32,5,4,5,4,Remote,Small (2-5),Medium,Fast-paced,High salary,Ideas,Extremely,Bachelors,Science/Math,Expert,Strongly indoor,Under 18,I love automating repetitive tasks and making entire systems more efficient,I would build developer tools that make programming ten times faster,People always ask me to review their code and system architecture designs,130160,1847900,Programming | Reading Comprehension | Critical Thinking | Active Listening | Writing | Speaking | Judgment and Decision Making | Complex Problem Solving
Graphic Designer,3.62,2.27,6.61,2.29,3.57,3.52,2,1,1,5,Remote,Solo,High,Varies,Creative freedom,Mix of all,Extremely,Bachelors,Arts/Humanities,Never,Strongly indoor,23-27,I love solving visual communication problems through design and typography,I would run my own creative studio designing brand identities for startups,People say I have an extraordinary eye for color harmony and visual balance,58910,253000,Critical Thinking | Speaking | Active Listening | Reading Comprehension | Active Learning | Writing | Complex Problem Solving | Coordination
Civil Engineer,6.44,4.37,2.4,1.0,2.61,4.28,4,1,4,2,Outdoor,Medium (6-20),Low,Moderate,Job stability,Physical things,Somewhat,Masters,Science/Math,Never,Both equally,28-35,I enjoy calculating structural loads and ensuring absolute safety in everything I design,I would design sustainable water systems for regions facing desperate water scarcity,I am known for my ability to manage extremely complex projects across many moving parts,88050,329800,Reading Comprehension | Critical Thinking | Active Listening | Mathematics | Speaking | Complex Problem Solving | Writing | Monitoring
Content Creator,2.1,2.77,3.39,3.08,3.72,5.02,2,5,2,5,Remote,Solo,High,Varies,Creative freedom,Mix of all,Very,Masters,Arts/Humanities,Never,Strongly indoor,23-27,I love experimenting with different content formats to see what truly resonates deeply,I would build the largest educational channel in my subject area anywhere in the world,Colleagues say I have an instinct for what audiences want even before they know it,73690,165000,Writing | Reading Comprehension | Active Listening | Speaking | Critical Thinking | Active Learning | Judgment and Decision Making | Social Perceptiveness
Data Scientist,2.77,7.0,3.02,2.07,1.59,5.75,4,4,4,2,Remote,Small (2-5),Medium,Varies,High salary,Data,Very,Pursuing,Science/Math,Advanced,Strongly indoor,Under 18,I get excited when data tells a story that changes how people make decisions,I would build recommendation systems that truly understand what people need,Friends say I can turn complicated data into clear and compelling visualizations,108020,192000,Python | Statistics | Machine Learning | SQL | Data Visualization | Pandas | Communication | NumPy
